species,seed,snr_db,fusion,auc,auc_det,n_tgt_det,n_dec_det,tgt_rate,decoy_rate,ratio,cov_target,cov_decoy,thr
barswa,7,-6,s1,0.4498611111111111,0.4793360433604336,36,82,0.35,0.375,1.0714285714285714,0.6,0.6833333333333333,0.3462931513786316
barswa,7,-6,ver,0.5822222222222222,0.8021680216802168,36,82,0.4166666666666667,0.16666666666666666,0.39999999999999997,0.6,0.6833333333333333,0.4871388058367978
barswa,8,9,s1,0.5794444444444444,0.6044897959183674,50,98,0.8,0.7583333333333333,0.9479166666666666,0.8333333333333334,0.8166666666666667,0.1736416518688202
barswa,8,9,ver,0.7808333333333334,0.9004081632653061,50,98,0.7666666666666667,0.4583333333333333,0.5978260869565217,0.8333333333333334,0.8166666666666667,0.48297486692193037
barswa,8,6,s1,0.5893055555555555,0.5701718494271686,52,94,0.7833333333333333,0.7,0.8936170212765957,0.8666666666666667,0.7833333333333333,0.1736416518688202
barswa,8,6,ver,0.8165277777777777,0.9048690671031097,52,94,0.8,0.425,0.53125,0.8666666666666667,0.7833333333333333,0.48297486692193037
barswa,8,3,s1,0.5698611111111112,0.5851546391752578,50,97,0.8166666666666667,0.725,0.8877551020408163,0.8333333333333334,0.8083333333333333,0.1736416518688202
barswa,8,3,ver,0.7843055555555556,0.9035051546391752,50,97,0.7833333333333333,0.42500000000000004,0.5425531914893618,0.8333333333333334,0.8083333333333333,0.48297486692193037
barswa,8,0,s1,0.5474305555555555,0.5271413828689371,51,95,0.7833333333333333,0.7166666666666668,0.9148936170212768,0.85,0.7916666666666666,0.1736416518688202
barswa,8,0,ver,0.8013194444444445,0.904437564499484,51,95,0.7833333333333333,0.375,0.4787234042553192,0.85,0.7916666666666666,0.48297486692193037
barswa,8,-3,s1,0.5348611111111111,0.46804597701149425,50,87,0.7,0.6166666666666667,0.880952380952381,0.8333333333333334,0.725,0.1736416518688202
barswa,8,-3,ver,0.7813888888888889,0.8760919540229885,50,87,0.7333333333333333,0.3,0.4090909090909091,0.8333333333333334,0.725,0.48297486692193037
barswa,8,-6,s1,0.5026388888888889,0.46841776110068795,41,78,0.5,0.48333333333333334,0.9666666666666667,0.6833333333333333,0.65,0.1736416518688202
barswa,8,-6,ver,0.6866666666666666,0.8827392120075047,41,78,0.6,0.22499999999999998,0.375,0.6833333333333333,0.65,0.48297486692193037
